BARANG,NAMA_BARANG_RAPIH,KATEGORI,MEREK,SPESIFIKASI,PART_NO,COA
"0007-1894-750 GASKET 329.57/340.23X5.33,WESTFALIA OSA 20-02-066",SEAL GASKET 329 57 340 23X5 33 OSA 20 02 066 340.23X5.33 WESTFALIA (P/N: 0007-1894-750),SEAL,WESTFALIA,340.23X5.33,0007-1894-750,PERLENGKAPAN KAPAL - MESIN
"0007-1943-750 GASKET,WESTFALIA OSB 35 01 066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-1943-750),SEAL,WESTFALIA,,0007-1943-750,PERLENGKAPAN KAPAL - MESIN
"0007-1944-750 GASKET,WESTFALIA OSB 35-01-066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-1944-750),SEAL,WESTFALIA,,0007-1944-750,PERLENGKAPAN KAPAL - MESIN
"0007-2023-750 GASKET 172/6,WESTFALIA OSA 20-02-066",SEAL GASKET 172 6 OSA 20 02 066 WESTFALIA (P/N: 0007-2023-750),SEAL,WESTFALIA,,0007-2023-750,PERLENGKAPAN KAPAL - MESIN
"0007-2023-750 GASKET 172/6,WESTFALIA OSB 35 01 066",SEAL GASKET 172 6 OSB 35 01 066 WESTFALIA (P/N: 0007-2023-750),SEAL,WESTFALIA,,0007-2023-750,PERLENGKAPAN KAPAL - MESIN
"0007-2023-750 GASKET RING,WESTFALIA OSB 35-01-066",SEAL GASKET RING OSB 35 01 066 WESTFALIA (P/N: 0007-2023-750),SEAL,WESTFALIA,,0007-2023-750,PERLENGKAPAN KAPAL - MESIN
"0007-2023-750 GASKET,WESTFALIA OSC 50-0136-066/40",SEAL GASKET OSC 50 0136 066 40 WESTFALIA (P/N: 0007-2023-750),SEAL,WESTFALIA,,0007-2023-750,PERLENGKAPAN KAPAL - MESIN
"0007-2049-750 GASKET,PURIFIER WESTFALIA OSA 20-02-066",SEAL GASKET PURIFIER OSA 20 02 066 WESTFALIA (P/N: 0007-2049-750),SEAL,WESTFALIA,,0007-2049-750,PERLENGKAPAN KAPAL - MESIN
"0007-2078-750 GASKET 120/7,WESTFALIA OSB 35 01 066",SEAL GASKET 120 7 OSB 35 01 066 WESTFALIA (P/N: 0007-2078-750),SEAL,WESTFALIA,,0007-2078-750,PERLENGKAPAN KAPAL - MESIN
"0007-2420-750 GASKET,WESTFALIA OSC5-02-067/15",SEAL GASKET OSC5 02 067 15 WESTFALIA (P/N: 0007-2420-750),SEAL,WESTFALIA,,0007-2420-750,PERLENGKAPAN KAPAL - MESIN
"0007-2421-750 GASKET,PURIFIER GEA WESTFALIA OSC 15-0136-0677",SEAL GASKET PURIFIER GEA OSC 15 0136 0677 WESTFALIA (P/N: 0007-2421-750),SEAL,WESTFALIA,,0007-2421-750,PERLENGKAPAN KAPAL - MESIN
"0007-2479-750  GASKET,WESTFALIA OSB 35-01-066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-2479-750),SEAL,WESTFALIA,,0007-2479-750,PERLENGKAPAN KAPAL - MESIN
"0007-2548-750 GASKET,WESTFALIA OSB 35-01-066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-2548-750),SEAL,WESTFALIA,,0007-2548-750,PERLENGKAPAN KAPAL - MESIN
"0007-2560-750 GASKET 203/3,WESTFALIA OSA 20-02-066",SEAL GASKET 203 3 OSA 20 02 066 WESTFALIA (P/N: 0007-2560-750),SEAL,WESTFALIA,,0007-2560-750,PERLENGKAPAN KAPAL - MESIN
"0007-2572-750  GASKET,WESTFALIA OSB 35 01 066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-2572-750),SEAL,WESTFALIA,,0007-2572-750,PERLENGKAPAN KAPAL - MESIN
"0007-2583-750 GASKET,WESTFALIA OSA 20-02-066",SEAL GASKET OSA 20 02 066 WESTFALIA (P/N: 0007-2583-750),SEAL,WESTFALIA,,0007-2583-750,PERLENGKAPAN KAPAL - MESIN
"0007-2607-740 GASKET,WESTFALIA OSB 35 01 066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-2607-740),SEAL,WESTFALIA,,0007-2607-740,PERLENGKAPAN KAPAL - MESIN
"0007-2608-750 GASKET 80/3.5,WESTFALIA OSA 20-02-066",SEAL GASKET 80 3 5 OSA 20 02 066 WESTFALIA (P/N: 0007-2608-750),SEAL,WESTFALIA,,0007-2608-750,PERLENGKAPAN KAPAL - MESIN
"0007-2620-750 GASKET,PURIFIER WESTFALIA OSC50-136-066 S/N:9007-984",SEAL GASKET PURIFIER OSC50 136 066 S N 9007 984 WESTFALIA (P/N: 0007-2620-750),SEAL,WESTFALIA,,0007-2620-750,PERLENGKAPAN KAPAL - MESIN
"0007-2623-750 GASKET 320/3,WESTFALIA OSA 20-02-066",SEAL GASKET 320 3 OSA 20 02 066 WESTFALIA (P/N: 0007-2623-750),SEAL,WESTFALIA,,0007-2623-750,PERLENGKAPAN KAPAL - MESIN
"0007-2631-750 GASKET 440/4,WESTFALIA OSB 35 01 066",SEAL GASKET 440 4 OSB 35 01 066 WESTFALIA (P/N: 0007-2631-750),SEAL,WESTFALIA,,0007-2631-750,PERLENGKAPAN KAPAL - MESIN
"0007-2641-750 GASKET 135/5,WESTFALIA OSB 35 01 066",SEAL GASKET 135 5 OSB 35 01 066 WESTFALIA (P/N: 0007-2641-750),SEAL,WESTFALIA,,0007-2641-750,PERLENGKAPAN KAPAL - MESIN
"0007-2646-750 GASKET 126/4.5,WESTFALIA OSA 20-02-066",SEAL GASKET 126 4 5 OSA 20 02 066 WESTFALIA (P/N: 0007-2646-750),SEAL,WESTFALIA,,0007-2646-750,PERLENGKAPAN KAPAL - MESIN
"0007-2646-760 GASKET 126/4.5,WESTFALIA OSA 20-02-066",SEAL GASKET 126 4 5 OSA 20 02 066 WESTFALIA (P/N: 0007-2646-760),SEAL,WESTFALIA,,0007-2646-760,PERLENGKAPAN KAPAL - MESIN
"0007-2847-840 GASKET 338.5X10.3,WESTFALIA OSA 20-02-066",SEAL GASKET 338 5X10 3 OSA 20 02 066 338.5X10.3 WESTFALIA (P/N: 0007-2847-840),SEAL,WESTFALIA,338.5X10.3,0007-2847-840,PERLENGKAPAN KAPAL - MESIN
"0007-2849-910 GASKET,WESTFALIA OSB 35 01 066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-2849-910),SEAL,WESTFALIA,,0007-2849-910,PERLENGKAPAN KAPAL - MESIN
"0007-2855-840 GASKET,WESTFALIA OSA 20-02-066",SEAL GASKET OSA 20 02 066 WESTFALIA (P/N: 0007-2855-840),SEAL,WESTFALIA,,0007-2855-840,PERLENGKAPAN KAPAL - MESIN
"0007-2925-750 GASKET 36.2/3,WESTFALIA OSA 20-02-066",SEAL GASKET 36 2 3 OSA 20 02 066 WESTFALIA (P/N: 0007-2925-750),SEAL,WESTFALIA,,0007-2925-750,PERLENGKAPAN KAPAL - MESIN
"0007-2925-750 GASKET,WESTFALIA OSB 35-01-066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0007-2925-750),SEAL,WESTFALIA,,0007-2925-750,PERLENGKAPAN KAPAL - MESIN
"0007-2925-750 GASKET,WESTFALIA OSC 15-02-067/15",SEAL GASKET OSC 15 02 067 15 WESTFALIA (P/N: 0007-2925-750),SEAL,WESTFALIA,,0007-2925-750,PERLENGKAPAN KAPAL - MESIN
"0007-2940-750 GASKET 140/4,WESTFALIA OSA 20-02-066",SEAL GASKET 140 4 OSA 20 02 066 WESTFALIA (P/N: 0007-2940-750),SEAL,WESTFALIA,,0007-2940-750,PERLENGKAPAN KAPAL - MESIN
"0007-2940-750 O-RING,WESTFALIA OSB 35-01-066",SEAL O RING OSB 35 01 066 WESTFALIA (P/N: 0007-2940-750),SEAL,WESTFALIA,,0007-2940-750,PERLENGKAPAN KAPAL - MESIN
"0007-3032-750 GASKET,PURIFIER WESTFALIA OSC50-136-066 S/N:9007-984",SEAL GASKET PURIFIER OSC50 136 066 S N 9007 984 WESTFALIA (P/N: 0007-3032-750),SEAL,WESTFALIA,,0007-3032-750,PERLENGKAPAN KAPAL - MESIN
"0007-3226-750 GASKET, WESTFALIA OSA 7-02-066",SEAL GASKET OSA 7 02 066 WESTFALIA (P/N: 0007-3226-750),SEAL,WESTFALIA,,0007-3226-750,PERLENGKAPAN KAPAL - MESIN
"00072023-750 GASKET,PURIFIER GEA OSA 20-02-066",SEAL GASKET PURIFIER OSA 20 02 066 GEA (P/N: 00072023-750),SEAL,GEA,,00072023-750,PERLENGKAPAN KAPAL - MESIN
"0008-3033-000 RUBBER-METAL BUSH,WESTFALIA OSC 5-02-066/5",LAIN-LAIN RUBBER METAL BUSH OSC 5 02 066 5 WESTFALIA (P/N: 0008-3033-000),LAIN-LAIN,WESTFALIA,,0008-3033-000,PERLENGKAPAN KAPAL - MESIN
"0008-3506-000 NECK BEARING BRIDGE, PURIFIER WESTFALIA OSA A7 02 066",BEARING NECK BEARING BRIDGE PURIFIER OSA A7 02 066 WESTFALIA (P/N: 0008-3506-000),BEARING,WESTFALIA,,0008-3506-000,PERLENGKAPAN KAPAL - MESIN
"0008-3508-000 PROTECTION RING, PURIFIER WESTFALIA OSA A7 02 066",FILTER PROTECTION RING PURIFIER OSA A7 02 066 WESTFALIA (P/N: 0008-3508-000),FILTER,WESTFALIA,,0008-3508-000,PERLENGKAPAN KAPAL - MESIN
"0008-4501-560 SPINDLE CAP, PURIFIER WESTFALIA OSA 20.01.36.066",FILTER SPINDLE CAP PURIFIER OSA 20 01 36 066 WESTFALIA (P/N: 0008-4501-560),FILTER,WESTFALIA,,0008-4501-560,PERLENGKAPAN KAPAL - MESIN
001 973 40 18 WIPER BLADE,LAIN-LAIN 973 40 18 WIPER BLADE (P/N: 001),LAIN-LAIN,,,001,BIAYA CONSUMABLES KAPAL
001 STATOR SLUDGE PUMP TAIKO HNP-301,PUMP STATOR SLUDGE PUMP HNP 301 TAIKO (P/N: 001),PUMP,TAIKO,,001,PERLENGKAPAN KAPAL - MESIN
"0010-2606-000 GUIDE BOLT,WESTFALIA OSA 20-02-066",FASTENER GUIDE BOLT OSA 20 02 066 WESTFALIA (P/N: 0010-2606-000),FASTENER,WESTFALIA,,0010-2606-000,PERLENGKAPAN KAPAL - MESIN
"0010-3001-160 CYLINDRICAL PRESSURE SPRING, PURIFIER WESTFALIA OS-A7-02-066",FILTER CYLINDRICAL PRESSURE SPRING PURIFIER OS A7 02 066 WESTFALIA (P/N: 0010-3001-160),FILTER,WESTFALIA,,0010-3001-160,PERLENGKAPAN KAPAL - MESIN
"0010-6206-000 GUIDE BOLT,PURIFIER WESTFALIA OSA 20-02-066",FILTER GUIDE BOLT PURIFIER OSA 20 02 066 WESTFALIA (P/N: 0010-6206-000),FILTER,WESTFALIA,,0010-6206-000,PERLENGKAPAN KAPAL - MESIN
"0010-6209-000 WASHER/DISK,PURIFIER WESTFALIA OSA 20-02-066",FILTER WASHER DISK PURIFIER OSA 20 02 066 WESTFALIA (P/N: 0010-6209-000),FILTER,WESTFALIA,,0010-6209-000,PERLENGKAPAN KAPAL - MESIN
"0010-6220-000 SPRING COLUMN,PURIFIER WESTFALIA OSA 20 0136 066",FILTER SPRING COLUMN PURIFIER OSA 20 0136 066 WESTFALIA (P/N: 0010-6220-000),FILTER,WESTFALIA,,0010-6220-000,PERLENGKAPAN KAPAL - MESIN
"0010-7206-000  GUIDE BOLT,WESTFALIA OSB 35 01 066",FASTENER GUIDE BOLT OSB 35 01 066 WESTFALIA (P/N: 0010-7206-000),FASTENER,WESTFALIA,,0010-7206-000,PERLENGKAPAN KAPAL - MESIN
"0010-7209-000 DISC,WESTFALIA OSB 35 01 066",LAIN-LAIN DISC OSB 35 01 066 WESTFALIA (P/N: 0010-7209-000),LAIN-LAIN,WESTFALIA,,0010-7209-000,PERLENGKAPAN KAPAL - MESIN
"0010-7220-000 SPRING COLUMN,COMPLETE,PURIFIER GEA WESTFALIA OSB 35-01-066",FILTER SPRING COLUMN COMPLETE PURIFIER GEA OSB 35 01 066 WESTFALIA (P/N: 0010-7220-000),FILTER,WESTFALIA,,0010-7220-000,PERLENGKAPAN KAPAL - MESIN
"0011-3208-470 ANGULAR BALL BEARING,WESTFALIA OSB 35-01-066",BEARING ANGULAR BALL BEARING OSB 35 01 066 WESTFALIA (P/N: 0011-3208-470),BEARING,WESTFALIA,,0011-3208-470,PERLENGKAPAN KAPAL - MESIN
"0011-6205-000 GROOVED BALL BEARING,WESTFALIA OSC 5-02-066/5",BEARING GROOVED BALL BEARING OSC 5 02 066 5 WESTFALIA (P/N: 0011-6205-000),BEARING,WESTFALIA,,0011-6205-000,PERLENGKAPAN KAPAL - MESIN
"0011-6206-000GROOVED BALL BEARING DIN 625-6206, WESTFALIA OSC 5-02-066/5",BEARING BALL BEARING DIN 625 6206 OSC 5 02 066 5 WESTFALIA (P/N: 0011-6206-000GROOVED),BEARING,WESTFALIA,,0011-6206-000GROOVED,PERLENGKAPAN KAPAL - MESIN
"0011-6209-110 GROOVED BALL BEARING 6211,PURIFIER GEA WESTFALIA OSB 35-01-066",BEARING GROOVED BALL BEARING 6211 PURIFIER GEA OSB 35 01 066 WESTFALIA (P/N: 0011-6209-110),BEARING,WESTFALIA,,0011-6209-110,PERLENGKAPAN KAPAL - MESIN
"0011-6211-110 GROOVED BALL BEARING,WESTFALIA OSC 50-0136-066",BEARING GROOVED BALL BEARING OSC 50 0136 066 WESTFALIA (P/N: 0011-6211-110),BEARING,WESTFALIA,,0011-6211-110,PERLENGKAPAN KAPAL - MESIN
"0011-7305-000 BALL BEARING,WESTFALIA OSA 20-02-066",BEARING BALL BEARING OSA 20 02 066 WESTFALIA (P/N: 0011-7305-000),BEARING,WESTFALIA,,0011-7305-000,PERLENGKAPAN KAPAL - MESIN
"0011-7306-100 ANGULAR CONTACT BALL BEARING,WESTFALIA OSC 50-0136-066",BEARING ANGULAR CONTACT BALL BEARING OSC 50 0136 066 WESTFALIA (P/N: 0011-7306-100),BEARING,WESTFALIA,,0011-7306-100,PERLENGKAPAN KAPAL - MESIN
"001305-02638 THREADED PIN,HATLAPA W140",FASTENER THREADED PIN HATLAPA W140 (P/N: 001305-02638),FASTENER,,,001305-02638,PERLENGKAPAN KAPAL - MESIN
"001387-03751 O-RING,HATLAPA W140",SEAL O RING HATLAPA W140 (P/N: 001387-03751),SEAL,,,001387-03751,PERLENGKAPAN KAPAL - MESIN
00158219000 PRINTED CIRCUIT BOARD,LAIN-LAIN PRINTED CIRCUIT BOARD (P/N: 00158219000),LAIN-LAIN,,,00158219000,PERLENGKAPAN KAPAL - DECK
00160683000 ACDC REPLACEMENT KIT,LAIN-LAIN ACDC REPLACEMENT KIT (P/N: 00160683000),LAIN-LAIN,,,00160683000,PERLENGKAPAN KAPAL - DECK
"0018-1712-630 BALL TYPE VALVE 1/2 IN 1/2, PURIFIER WESTFALIA OSA 20.01.36.066",VALVE BALL TYPE VALVE 1 2 IN 1 2 PURIFIER OSA 20 01 36 066 WESTFALIA (P/N: 0018-1712-630),VALVE,WESTFALIA,,0018-1712-630,PERLENGKAPAN KAPAL - MESIN
"0018-2182-610 SELENOID VALVE 13-24 GL, PURIFIER WESTFALIA OSC 4-02-66",VALVE SELENOID VALVE 13 24 GL PURIFIER OSC 4 02 66 WESTFALIA (P/N: 0018-2182-610),VALVE,WESTFALIA,,0018-2182-610,PERLENGKAPAN KAPAL - MESIN
"0018-2793-758 HOSE, PURIFIER WESTFALIA OSA 20.01.36.066",FILTER HOSE PURIFIER OSA 20 01 36 066 WESTFALIA (P/N: 0018-2793-758),FILTER,WESTFALIA,,0018-2793-758,PERLENGKAPAN KAPAL - MESIN
"0018-4273-600 NON RETURN VALVE COMPLETE, PURIFIER WESTFALIA OSA 20.01.36.066",VALVE NON RETURN VALVE COMPLETE PURIFIER OSA 20 01 36 066 WESTFALIA (P/N: 0018-4273-600),VALVE,WESTFALIA,,0018-4273-600,PERLENGKAPAN KAPAL - MESIN
"0018-5545-600 SELENOID VALVE COMPLETE, PURIFIER WESTFALIA OSA 7-02-066",VALVE SELENOID VALVE COMPLETE PURIFIER OSA 7 02 066 WESTFALIA (P/N: 0018-5545-600),VALVE,WESTFALIA,,0018-5545-600,PERLENGKAPAN KAPAL - MESIN
0018-6282-600 NON RETURN VALVE LO PURIFIER GEA WESTFALIA OSC 15-0136-067,VALVE NON RETURN VALVE LO PURIFIER GEA OSC 15 0136 067 WESTFALIA (P/N: 0018-6282-600),VALVE,WESTFALIA,,0018-6282-600,PERLENGKAPAN KAPAL - MESIN
"001829-03118 SECURING RING,HATLAPA W140",LAIN-LAIN SECURING RING HATLAPA W140 (P/N: 001829-03118),LAIN-LAIN,,,001829-03118,PERLENGKAPAN KAPAL - MESIN
"0019-1741-800 HANDLE SCREW,WESTFALIA OSA 20-02-066",FASTENER HANDLE SCREW OSA 20 02 066 WESTFALIA (P/N: 0019-1741-800),FASTENER,WESTFALIA,,0019-1741-800,PERLENGKAPAN KAPAL - MESIN
"0019-1741-800 HANDLE SCREW,WESTFALIA OSB 35 01 066",FASTENER HANDLE SCREW OSB 35 01 066 WESTFALIA (P/N: 0019-1741-800),FASTENER,WESTFALIA,,0019-1741-800,PERLENGKAPAN KAPAL - MESIN
"001900370 NOZZLE HOLDER ASSY,MITSUI DEUTZ F5L912",ENGINE PART NOZZLE HOLDER ASSY MITSUI F5L912 DEUTZ (P/N: 001900370),ENGINE PART,DEUTZ,,001900370,PERLENGKAPAN KAPAL - MESIN
0021 CASING RING PUMP TAIKO KIKAI ESCE-250D,PUMP CASING RING PUMP KIKAI ESCE 250D TAIKO (P/N: 0021),PUMP,TAIKO,,0021,PERLENGKAPAN KAPAL - MESIN
"002544 N-RING, COMPRESSOR SAUR & SOHN WP 150L",LAIN-LAIN N RING COMPRESSOR SAUR SOHN WP 150L (P/N: 002544),LAIN-LAIN,,,002544,PERLENGKAPAN KAPAL - MESIN
"0026-2225-110 SPRING PISTON,WESTFALIA OSB 35 01 066",ENGINE PART SPRING PISTON OSB 35 01 066 WESTFALIA (P/N: 0026-2225-110),ENGINE PART,WESTFALIA,,0026-2225-110,PERLENGKAPAN KAPAL - MESIN
"0026-2385-400 SUPPORTING RING,WESTFALIA OSB 35-01-066",LAIN-LAIN SUPPORTING RING OSB 35 01 066 WESTFALIA (P/N: 0026-2385-400),LAIN-LAIN,WESTFALIA,,0026-2385-400,PERLENGKAPAN KAPAL - MESIN
"0026-2910-000 SUPPORTING RING,PURIFIER WESTFALIA OSA 20-02-066",FILTER SUPPORTING RING PURIFIER OSA 20 02 066 WESTFALIA (P/N: 0026-2910-000),FILTER,WESTFALIA,,0026-2910-000,PERLENGKAPAN KAPAL - MESIN
"0026-5856-170 SECURING RING 471-12X1,WESTFALIA OSA20-01-066",LAIN-LAIN SECURING RING 471 12X1 OSA20 01 066 12X1 WESTFALIA (P/N: 0026-5856-170),LAIN-LAIN,WESTFALIA,12X1,0026-5856-170,PERLENGKAPAN KAPAL - MESIN
"0026-5868-170 SECURING RING,WESTFALIA OSB 35 01 066",LAIN-LAIN SECURING RING OSB 35 01 066 WESTFALIA (P/N: 0026-5868-170),LAIN-LAIN,WESTFALIA,,0026-5868-170,PERLENGKAPAN KAPAL - MESIN
"002663 R-RING,COMPRESSOR JP SOUER & SOHN WP 150L",LAIN-LAIN R RING COMPRESSOR JP SOUER SOHN WP 150L (P/N: 002663),LAIN-LAIN,,,002663,PERLENGKAPAN KAPAL - MESIN
"002663 R-RING,COMPRESSOR JP SOUER & SOHN WP 151L",LAIN-LAIN R RING COMPRESSOR JP SOUER SOHN WP 151L (P/N: 002663),LAIN-LAIN,,,002663,PERLENGKAPAN KAPAL - MESIN
003 IMPELLER PUMP TAIKO KIKAI ESCE-250D,PUMP IMPELLER PUMP KIKAI ESCE 250D TAIKO (P/N: 003),PUMP,TAIKO,,003,PERLENGKAPAN KAPAL - MESIN
"003 IMPELLER RING, TAIKO KIKAI TMV-40A-3.7X2",PUMP IMPELLER RING KIKAI TMV 40A 3 7X2 3.7X2 TAIKO (P/N: 003),PUMP,TAIKO,3.7X2,003,PERLENGKAPAN KAPAL - MESIN
"003 IMPELLER, TAIKO EMCSE-260MCT",PUMP IMPELLER EMCSE 260MCT 260M TAIKO (P/N: 003),PUMP,TAIKO,260M,003,PERLENGKAPAN KAPAL - MESIN
"003 IMPELLER, TAIKO KIKAI 3MT-32",PUMP IMPELLER KIKAI 3MT 32 3M TAIKO (P/N: 003),PUMP,TAIKO,3M,003,PERLENGKAPAN KAPAL - MESIN
"003 IMPELLER, TAIKO TMV-32",PUMP IMPELLER TMV 32 TAIKO (P/N: 003),PUMP,TAIKO,,003,PERLENGKAPAN KAPAL - MESIN
"003 IMPELLER,TAIKO KIKAI EMC-200C",PUMP IMPELLER KIKAI EMC 200C TAIKO (P/N: 003),PUMP,TAIKO,,003,PERLENGKAPAN KAPAL - MESIN
"003 IMPELLER,TAIKO KIKAI TMC-100C",PUMP IMPELLER KIKAI TMC 100C TAIKO (P/N: 003),PUMP,TAIKO,,003,PERLENGKAPAN KAPAL - MESIN
"003/1 IMPELLER, TAIKO KIKAI VSE 200",PUMP IMPELLER KIKAI VSE 200 TAIKO (P/N: 003/1),PUMP,TAIKO,,003/1,PERLENGKAPAN KAPAL - MESIN
"003/2 IMPELLER, TAIKO KIKAI VSE 200",PUMP IMPELLER KIKAI VSE 200 TAIKO (P/N: 003/2),PUMP,TAIKO,,003/2,PERLENGKAPAN KAPAL - MESIN
"003103-03310 SPRING PLATE,HATLAPA W-140",LAIN-LAIN SPRING PLATE HATLAPA W 140 (P/N: 003103-03310),LAIN-LAIN,,,003103-03310,PERLENGKAPAN KAPAL - MESIN
"003901-03163 PISTON RING, HATLAPA W-140",ENGINE PART PISTON RING HATLAPA W 140 (P/N: 003901-03163),ENGINE PART,,,003901-03163,PERLENGKAPAN KAPAL - MESIN
"004478-03163 PISTON RING (2),HATLAPA W-140",ENGINE PART PISTON RING 2 HATLAPA W 140 (P/N: 004478-03163),ENGINE PART,,,004478-03163,PERLENGKAPAN KAPAL - MESIN
"004479-03160 PISTON RING,HATLAPA W-140",ENGINE PART PISTON RING HATLAPA W 140 (P/N: 004479-03160),ENGINE PART,,,004479-03160,PERLENGKAPAN KAPAL - MESIN
"004480-03160 OIL SCRAPER RING,HATLAPA W140",CHEMICAL OIL SCRAPER RING HATLAPA W140 (P/N: 004480-03160),CHEMICAL,,,004480-03160,PERLENGKAPAN KAPAL - MESIN
"004480-03170 OIL SCRAPER RING, HATLAPA W-140",CHEMICAL OIL SCRAPER RING HATLAPA W 140 (P/N: 004480-03170),CHEMICAL,,,004480-03170,PERLENGKAPAN KAPAL - MESIN
"004487-03163 PISTON RING (1),HATLAPA W-140",ENGINE PART PISTON RING 1 HATLAPA W 140 (P/N: 004487-03163),ENGINE PART,,,004487-03163,PERLENGKAPAN KAPAL - MESIN
"005009 GASKET,JP SAUER & SOHN WP 200",SEAL GASKET JP SAUER SOHN WP 200 (P/N: 005009),SEAL,,,005009,PERLENGKAPAN KAPAL - MESIN
"005016 RING GASKET,JP SAUER & SOHN WP 151L",SEAL RING GASKET JP SAUER SOHN WP 151L (P/N: 005016),SEAL,,,005016,PERLENGKAPAN KAPAL - MESIN
"0070-2849-910 GASKET,WESTFALIA OSB 35-01-066",SEAL GASKET OSB 35 01 066 WESTFALIA (P/N: 0070-2849-910),SEAL,WESTFALIA,,0070-2849-910,PERLENGKAPAN KAPAL - MESIN
"009576-02022 HEXAGON HEAD BOLT,HATLAPA W140",FASTENER HEXAGON HEAD BOLT HATLAPA W140 (P/N: 009576-02022),FASTENER,,,009576-02022,PERLENGKAPAN KAPAL - MESIN
"0144-025 SCREW ,YMD MAN B&W S35MC-C",FASTENER SCREW YMD S35MC C MAN B&W (P/N: 0144-025),FASTENER,MAN B&W,,0144-025,PERLENGKAPAN KAPAL - MESIN
"016 BEARING-BIG END CYLINDRICAL ROLLER,HAMWORTHY KSE V-375",BEARING BEARING BIG END CYLINDRICAL ROLLER HAMWORTHY KSE V 375 (P/N: 016),BEARING,,,016,PERLENGKAPAN KAPAL - MESIN
"017 BEARING-SMALL END NEEDLE ROLLER,HAMWORTHY KSE V-375",BEARING BEARING SMALL END NEEDLE ROLLER HAMWORTHY KSE V 375 (P/N: 017),BEARING,,,017,PERLENGKAPAN KAPAL - MESIN
"020 BEARING-BIG END CYLINDRICAL ROLLER,HAMWORTHY KSE V-375",BEARING BEARING BIG END CYLINDRICAL ROLLER HAMWORTHY KSE V 375 (P/N: 020),BEARING,,,020,PERLENGKAPAN KAPAL - MESIN
020 CASING RING PUMP TAIKO KIKAI ESCE-250D,PUMP CASING RING PUMP KIKAI ESCE 250D TAIKO (P/N: 020),PUMP,TAIKO,,020,PERLENGKAPAN KAPAL - MESIN
"020 CASING RING, TAIKO EMCSE-260MCT",PUMP CASING RING EMCSE 260MCT 260M TAIKO (P/N: 020),PUMP,TAIKO,260M,020,PERLENGKAPAN KAPAL - MESIN
"020 CASING RING, TAIKO KIKAI TMV-40A-3.7X2",PUMP CASING RING KIKAI TMV 40A 3 7X2 3.7X2 TAIKO (P/N: 020),PUMP,TAIKO,3.7X2,020,PERLENGKAPAN KAPAL - MESIN
"020 CASING RING, TAIKO TMV-32",PUMP CASING RING TMV 32 TAIKO (P/N: 020),PUMP,TAIKO,,020,PERLENGKAPAN KAPAL - MESIN
"020 CASING RING,TAIKO KIKAI EHC-50MJX",PUMP CASING RING KIKAI EHC 50MJX 50M TAIKO (P/N: 020),PUMP,TAIKO,50M,020,PERLENGKAPAN KAPAL - MESIN
"020 CASING RING,TAIKO KIKAI EMC-200C",PUMP CASING RING KIKAI EMC 200C TAIKO (P/N: 020),PUMP,TAIKO,,020,PERLENGKAPAN KAPAL - MESIN
"020 CASING RING,TAIKO KIKAI TMC-100C",PUMP CASING RING KIKAI TMC 100C TAIKO (P/N: 020),PUMP,TAIKO,,020,PERLENGKAPAN KAPAL - MESIN
"020/021 CASING RING,TAIKO KIKAI ESCE-200D",PUMP CASING RING KIKAI ESCE 200D TAIKO (P/N: 020/021),PUMP,TAIKO,,020/021,PERLENGKAPAN KAPAL - MESIN
"02020112 HYDRAULIC HOSE,ORTS EHS-B",PIPE FITTING HYDRAULIC HOSE ORTS EHS B (P/N: 02020112),PIPE FITTING,,,02020112,PERLENGKAPAN KAPAL - MESIN
"020287-04627 GASKET,HATLAPA W140",SEAL GASKET HATLAPA W140 (P/N: 020287-04627),SEAL,,,020287-04627,PERLENGKAPAN KAPAL - MESIN
"020302-07360 CONNECTING ROD COMPLETE,HATLAPA W-140",ENGINE PART CONNECTING ROD COMPLETE HATLAPA W 140 (P/N: 020302-07360),ENGINE PART,,,020302-07360,PERLENGKAPAN KAPAL - MESIN
"020306-04321 CONNECTING ROD BEARING,HATLAPA W-140",BEARING CONNECTING ROD BEARING HATLAPA W 140 (P/N: 020306-04321),BEARING,,,020306-04321,PERLENGKAPAN KAPAL - MESIN
"020332-04313 PISTON COMPLETE,HATLAPA W-140",ENGINE PART PISTON COMPLETE HATLAPA W 140 (P/N: 020332-04313),ENGINE PART,,,020332-04313,PERLENGKAPAN KAPAL - MESIN
"020333-06328 CYLINDER LINER,HATLAPA W-140",ENGINE PART CYLINDER LINER HATLAPA W 140 (P/N: 020333-06328),ENGINE PART,,,020333-06328,PERLENGKAPAN KAPAL - MESIN
"020340-04303 SUCTION & PRESSURE VALVE COMPLETE,STAGE 2,",VALVE SUCTION PRESSURE VALVE COMPLETE STAGE 2 (P/N: 020340-04303),VALVE,,,020340-04303,PERLENGKAPAN KAPAL - MESIN
